shipment_id,supplier_id,promised_lead_time_days,actual_lead_time_days,shipment_date,destination_warehouse
SHP-8091,SUP-104,10,14,2026-07-01,WH-EAST
SHP-8092,SUP-202,7,7,2026-07-02,WH-WEST
SHP-8093,SUP-104,12,18,2026-07-03,WH-NORTH
SHP-8094,SUP-305,15,13,2026-07-05,WH-SOUTH
SHP-8095,SUP-104,10,15,2026-07-06,WH-EAST
SHP-8096,SUP-410,14,14,2026-07-07,WH-CENTRAL
SHP-8097,SUP-202,5,9,2026-07-08,WH-WEST
SHP-8098,SUP-305,20,18,2026-07-10,WH-SOUTH
SHP-8099,SUP-501,8,12,2026-07-11,WH-NORTH
SHP-8100,SUP-104,10,11,2026-07-12,WH-EAST
